itemID	tagID
0	0
1	0
2	0
2	1
2	2
3	0
3	3
3	4
5	0
5	6
6	0
6	7
6	8
7	0
7	9
7	10
8	0
8	11
10	0
10	13
11	0
11	14
12	0
12	15
14	0
14	5
14	17
16	0
16	19
17	0
17	20
18	0
18	21
19	0
20	0
21	0
21	22
22	0
23	0
25	0
25	23
26	0
26	24
27	25
28	25
29	26
30	27
31	28
33	29
33	31
33	32
33	33
34	34
34	35
36	34
37	0
37	37
38	38
39	39
40	39
41	27
41	40
43	27
44	36
44	41
45	42
45	43
45	44
47	27
47	40
49	27
49	48
49	49
49	50
49	51
49	52
51	55
51	56
54	34
54	62
55	63
56	34
56	17
56	43
56	64
58	43
58	66
59	17
59	35
61	67
62	68
63	69
63	70
63	71
63	72
63	73
63	74
68	78
68	79
68	80
68	81
69	78
69	79
69	82
70	78
70	79
70	83
71	84
71	85
72	86
73	72
73	87
73	88
74	89
75	90
76	90
77	90
78	91
79	90
81	90
81	94
82	94
82	87
84	86
86	97
87	98
88	90
89	90
91	9
91	100
92	90
93	101
94	86
96	93
96	102
97	93
97	102
97	103
98	56
98	104
100	90
100	105
101	90
101	105
102	90
103	99
104	90
105	91
105	106
106	107
106	96
106	108
106	109
106	110
106	111
107	112
107	113
107	114
110	35
110	37
110	109
110	123
110	124
110	125
111	22
111	35
111	113
111	126
111	127
111	128
112	113
112	129
112	130
112	131
112	132
112	133
112	134
113	16
113	22
113	135
113	136
113	137
113	138
114	37
114	128
114	139
114	140
114	141
115	142
115	143
116	144
116	145
116	146
117	147
117	148
117	149
118	22
118	150
118	151
118	152
119	118
119	153
120	94
120	110
120	113
120	154
122	54
122	113
122	156
123	22
123	150
124	113
124	127
124	157
124	158
124	159
124	160
125	22
125	44
125	161
125	162
125	163
126	30
126	38
126	122
126	138
126	164
127	114
127	165
129	167
129	168
129	169
129	170
129	171
130	35
130	150
130	172
130	173
130	174
130	175
130	176
130	177
131	22
131	178
131	179
134	143
134	180
134	187
134	188
134	189
134	190
134	191
134	192
135	193
135	194
135	195
135	196
136	177
136	183
136	197
138	37
138	113
138	127
138	128
138	156
138	201
138	202
140	94
140	207
140	208
141	37
141	128
141	150
141	183
141	209
141	210
143	15
143	212
143	213
143	214
144	215
144	216
146	22
146	149
146	219
146	220
146	221
147	22
147	113
147	123
147	222
147	162
147	223
148	150
148	160
148	183
149	37
149	113
149	215
149	224
149	225
151	35
151	43
151	172
151	177
153	56
153	231
153	232
154	233
154	186
154	234
154	235
154	236
156	15
156	122
156	155
156	240
156	241
159	15
159	22
159	113
159	122
160	122
160	193
160	195
160	246
160	247
161	15
161	122
161	195
161	201
161	248
161	249
161	250
162	35
162	110
162	113
162	251
162	252
163	253
163	254
164	22
164	44
164	109
164	112
164	115
164	146
164	166
164	186
164	255
166	233
166	186
166	234
166	258
166	259
166	260
167	233
167	234
167	261
168	233
168	186
168	234
168	262
168	263
169	234
169	264
169	265
169	266
171	4
171	113
171	122
172	127
172	267
172	268
172	269
172	270
173	109
173	183
173	271
173	272
173	273
175	90
175	225
175	275
176	205
176	276
178	22
178	35
178	37
178	109
178	127
178	277
179	278
180	135
180	195
182	283
182	284
182	285
182	286
183	103
183	113
183	286
185	286
185	289
185	290
185	291
185	292
185	293
187	69
187	72
187	294
187	295
188	296
188	297
189	231
189	287
189	298
189	299
190	287
190	299
191	127
191	160
191	271
191	300
191	301
191	302
192	286
192	303
192	304
194	113
194	160
194	286
195	100
195	286
195	287
195	298
196	284
196	306
196	307
196	308
196	309
197	127
197	310
197	311
198	286
198	287
198	298
198	299
198	312
199	287
199	298
199	299
199	312
200	286
200	287
200	298
200	299
200	313
201	296
201	287
201	299
201	314
201	315
202	296
202	287
202	299
202	314
202	315
203	296
203	287
203	298
203	299
203	314
203	315
204	72
204	118
204	286
204	287
204	316
204	317
204	318
207	113
207	294
207	319
209	229
209	322
209	323
210	231
210	286
210	287
210	299
210	311
210	324
212	322
212	327
212	328
212	329
213	231
213	287
213	298
213	299
214	287
214	298
214	299
215	72
215	287
215	298
215	299
216	330
216	331
219	72
219	250
219	333
219	334
221	72
221	130
221	250
221	270
221	333
222	72
222	130
222	231
222	250
222	270
222	333
222	334
224	287
224	339
225	132
225	172
225	175
225	286
