userID	tagID
1	1
1	2
1	3
1	4
1	5
1	7
1	8
1	9
1	10
1	11
2	12
4	14
4	15
5	16
6	17
7	18
7	19
7	20
8	21
9	22
10	23
11	24
11	25
11	26
11	27
11	28
11	29
11	30
11	31
11	32
12	33
12	34
12	35
13	36
14	37
14	38
14	39
14	40
14	42
14	43
14	44
14	45
14	46
14	47
14	48
14	56
14	57
14	58
14	59
14	60
14	61
14	62
14	63
14	64
14	52
14	65
14	66
14	7
14	67
14	68
14	69
14	70
14	55
14	71
14	72
14	78
14	79
14	51
14	80
14	81
14	82
14	83
14	86
14	35
14	88
14	77
14	89
14	90
14	91
14	92
14	94
14	36
14	95
14	93
14	97
14	98
14	54
15	99
15	100
15	101
15	102
15	103
15	104
16	106
16	107
16	108
16	109
16	96
16	110
16	111
16	112
16	113
16	114
17	115
17	64
17	117
17	118
17	119
18	120
19	73
19	121
19	5
19	10
20	103
21	103
21	122
22	124
22	125
22	120
23	126
24	77
24	121
24	127
24	128
24	109
24	129
24	130
25	32
26	56
26	133
27	96
28	134
28	135
28	136
28	137
28	138
29	139
29	133
30	140
30	141
30	142
31	143
31	144
31	145
32	146
33	49
33	147
33	50
33	148
33	149
33	152
33	153
33	154
33	155
34	69
34	156
34	157
34	158
35	159
35	160
35	161
35	10
36	162
37	164
37	165
37	166
37	65
38	106
38	167
38	57
39	168
40	169
40	5
40	170
41	173
41	171
42	174
42	175
42	178
42	179
42	176
42	10
42	180
42	181
42	64
42	182
42	5
43	182
43	184
45	185
45	186
45	187
45	189
45	190
45	25
45	96
45	191
45	153
45	192
45	193
45	16
45	194
45	56
45	195
45	196
45	188
45	197
45	198
45	199
45	200
45	201
45	202
45	69
45	203
45	205
45	103
45	204
46	206
47	7
47	64
47	207
47	208
47	209
48	210
48	153
49	211
50	41
50	74
51	212
52	213
52	114
53	189
53	214
54	5
54	215
55	216
56	217
56	218
56	220
56	166
56	221
58	12
59	120
59	187
59	86
59	155
60	224
60	225
60	226
60	227
60	228
60	107
60	229
60	177
61	105
62	232
63	221
64	36
65	43
65	56
65	233
65	40
65	153
66	38
66	39
66	234
66	40
66	133
66	36
66	235
66	236
66	128
66	237
66	238
66	239
66	232
66	120
66	240
66	74
66	70
66	5
66	241
66	242
66	200
66	58
66	244
66	245
66	246
66	247
66	75
66	248
66	166
66	51
66	217
66	21
66	80
66	251
66	252
66	253
66	218
66	12
66	110
66	207
66	10
66	255
66	156
66	256
66	257
66	258
66	259
66	98
66	260
66	263
66	264
66	265
66	262
66	266
66	267
66	268
66	250
66	269
66	271
66	272
66	273
66	274
66	275
66	276
66	86
66	278
66	279
66	280
66	281
66	282
66	283
66	136
66	284
66	285
66	277
66	286
66	287
66	288
66	289
66	168
66	290
66	37
66	43
66	249
66	291
66	292
66	57
66	293
66	295
66	296
66	47
66	297
67	137
68	294
69	298
69	289
70	120
71	177
72	299
72	5
73	2
73	32
73	89
74	301
75	10
75	302
76	102
77	10
77	175
77	304
77	305
77	306
77	193
77	259
79	190
79	227
80	284
81	76
81	6
82	308
82	144
82	25
83	220
83	309
83	187
83	310
83	5
83	109
83	56
83	8
83	156
83	311
83	312
83	313
83	203
83	314
83	315
84	316
84	307
85	317
86	296
86	180
86	43
86	40
86	74
86	23
86	41
86	39
86	248
86	243
86	318
86	10
86	321
86	322
86	299
86	323
86	324
86	292
86	267
86	325
86	73
86	65
86	276
87	326
88	327
88	328
90	52
90	329
91	56
91	113
91	69
91	25
91	80
91	331
91	61
91	332
91	333
91	240
91	334
92	335
92	65
92	336
92	337
92	17
93	338
94	165
94	121
95	217
96	319
96	340
96	341
97	342
98	343
98	14
98	56
98	200
98	199
98	236
98	101
98	290
98	344
98	345
98	130
98	346
98	347
99	348
99	287
99	349
99	209
99	350
100	351
101	80
102	221
102	352
102	122
103	121
103	322
103	353
103	354
103	355
103	40
103	63
103	356
103	56
103	61
103	357
103	67
103	244
103	127
103	20
103	113
103	7
103	69
103	51
103	358
103	240
103	359
103	327
103	130
103	14
103	204
103	363
103	157
103	364
103	232
103	365
103	366
103	120
103	156
103	368
103	369
103	370
103	362
104	67
104	320
105	373
106	56
106	375
106	376
106	374
106	377
106	378
107	207
108	379
109	10
109	256
109	381
109	382
109	183
109	37
109	255
109	311
109	384
110	320
110	38
110	39
110	189
110	385
110	6
110	346
110	67
110	187
110	388
110	390
110	183
110	210
110	391
110	389
110	5
110	41
110	1
110	109
110	56
110	395
110	166
110	232
110	104
110	14
110	190
110	396
110	123
110	63
110	322
111	377
111	398
112	221
113	400
113	401
114	122
114	14
114	402
114	64
115	65
116	403
116	224
116	199
116	404
116	110
116	183
116	327
116	405
117	291
117	16
117	406
117	156
117	44
117	407
117	408
117	409
117	43
117	152
117	410
117	295
117	411
117	377
117	412
117	413
117	414
117	102
117	415
117	5
117	399
117	416
117	57
117	417
117	419
117	420
117	37
117	319
117	122
117	422
117	423
117	424
117	360
117	313
117	425
117	426
117	427
117	67
117	428
117	256
117	154
117	429
117	430
117	431
117	432
118	67
119	30
120	97
121	435
122	61
122	10
122	63
122	436
123	412
124	437
125	377
126	113
126	25
127	438
128	40
128	150
128	113
128	440
129	194
129	56
130	441
131	236
132	84
132	442
133	443
133	279
133	73
133	444
133	74
133	166
133	79
133	445
133	446
133	406
133	293
133	110
133	113
133	447
133	305
133	213
133	98
133	77
133	129
133	36
133	7
133	449
133	131
133	41
133	235
133	34
133	269
133	450
133	451
133	44
133	54
134	360
134	41
134	289
135	130
135	121
136	453
137	455
137	456
137	457
138	458
138	459
138	56
138	302
138	81
138	331
138	461
138	336
138	463
138	26
138	465
138	42
138	80
138	220
138	466
138	467
138	468
138	469
139	56
139	470
139	24
139	400
139	388
139	471
139	435
139	472
139	401
139	473
139	474
139	220
139	475
139	223
139	476
139	42
139	225
139	109
139	477
140	478
141	12
142	479
142	116
143	110
143	221
143	450
144	329
145	103
147	480
147	115
148	263
148	481
148	482
148	483
149	484
149	485
149	486
149	487
149	3
149	488
149	489
149	490
149	491
149	492
150	121
151	261
152	7
153	25
153	377
153	54
153	332
153	194
153	61
153	42
153	493
153	15
153	496
153	497
153	498
154	499
154	500
154	501
154	502
154	73
154	503
154	65
155	44
157	505
157	443
157	506
157	53
157	507
157	508
157	225
157	509
157	510
157	511
157	512
157	63
157	285
157	118
157	513
157	110
157	514
157	313
157	515
157	516
157	7
158	319
158	518
158	519
158	521
158	522
158	190
158	51
158	213
159	74
159	334
160	524
160	134
161	12
161	525
162	401
163	526
164	61
164	527
165	528
165	70
166	376
166	183
166	158
167	313
168	212
168	529
168	530
169	505
171	532
171	227
171	428
171	0
171	133
171	113
171	274
171	533
171	106
171	534
171	165
171	196
171	535
171	250
171	51
171	536
171	121
171	537
171	538
171	276
171	539
171	540
171	541
171	216
171	166
171	288
171	542
171	287
171	543
171	544
171	545
171	546
172	547
172	548
173	549
174	475
175	292
175	550
175	551
175	552
176	553
177	543
179	153
180	291
180	64
181	241
182	555
183	305
183	556
183	232
183	54
184	46
184	388
184	114
184	24
184	557
184	558
184	559
184	377
184	320
184	560
184	561
184	5
184	226
184	562
184	563
184	564
184	565
184	566
184	70
184	567
184	468
184	12
184	365
184	423
184	306
184	568
184	569
184	131
184	571
184	572
184	573
184	574
184	236
184	575
184	274
184	454
184	576
184	10
184	577
184	578
184	579
184	195
184	391
184	580
184	581
184	422
184	398
184	585
184	342
184	586
184	587
184	588
184	37
184	590
184	591
184	592
184	593
184	61
184	26
184	594
184	595
184	596
184	597
184	598
184	69
184	371
184	599
184	600
185	601
186	200
186	602
186	155
186	330
186	153
186	603
186	604
186	605
186	606
186	57
186	98
186	607
186	608
186	69
186	609
186	326
186	611
186	237
186	612
186	453
186	613
186	56
186	614
186	216
186	615
186	561
186	58
186	616
186	610
186	617
186	618
186	619
186	620
186	543
186	71
186	621
186	70
186	567
186	113
186	624
186	301
186	194
186	625
186	626
186	549
186	627
186	623
186	345
186	349
186	630
186	110
186	23
186	361
186	305
186	248
186	39
186	272
186	633
186	54
186	246
186	51
186	25
186	634
186	635
186	260
186	636
186	43
186	397
186	352
186	637
186	638
186	249
186	139
186	306
186	639
186	533
186	268
186	133
186	640
186	641
186	642
187	56
188	206
188	643
188	644
189	494
189	66
189	645
189	446
189	292
189	344
189	646
189	360
189	647
190	648
191	649
192	134
193	421
194	650
195	652
196	653
196	198
196	296
196	515
196	654
197	37
199	655
200	68
200	531
200	153
200	656
200	67
200	603
200	657
200	448
200	658
200	109
200	346
200	7
200	659
200	113
200	213
200	236
200	602
200	660
201	270
201	658
201	661
201	662
203	664
204	7
204	320
204	365
205	377
206	365
206	665
206	65
207	666
207	267
208	500
208	128
208	56
208	238
208	439
209	668
209	669
210	16
210	670
210	671
210	225
210	227
211	209
211	24
211	435
211	673
211	674
211	464
211	166
211	157
211	675
211	677
211	72
211	241
211	67
211	679
211	676
211	377
211	65
211	204
211	680
211	332
212	12
212	681
212	682
214	37
214	46
214	292
214	40
214	66
214	129
214	67
214	162
214	63
214	135
214	322
214	243
214	683
214	56
214	157
214	198
214	24
214	245
214	684
214	236
214	685
214	77
214	78
214	221
214	207
214	251
214	686
214	687
214	688
214	74
214	61
214	222
214	241
214	286
214	163
214	91
214	169
215	83
216	40
216	271
216	63
216	255
216	105
216	15
216	152
218	657
219	689
219	580
219	292
219	690
219	691
219	443
220	498
221	185
221	41
221	103
221	199
221	291
222	217
222	169
222	232
223	41
224	692
225	185
225	56
225	693
225	194
226	152
226	618
226	694
226	695
226	592
226	696
227	61
227	56
227	698
227	213
227	699
227	700
227	160
227	200
227	701
228	702
229	703
230	87
230	350
230	37
231	394
232	183
233	14
233	132
233	705
234	706
234	463
236	341
237	59
238	340
239	707
240	291
240	254
240	156
241	365
241	436
242	603
242	708
242	577
242	584
242	709
242	602
242	710
242	711
242	350
242	44
242	712
242	58
242	649
242	714
242	715
242	716
242	717
242	718
242	113
242	249
242	719
242	268
242	543
242	272
242	38
242	72
242	713
242	545
242	720
242	274
242	397
242	96
243	562
244	185
245	108
245	259
245	66
245	64
246	687
247	721
247	430
248	722
249	142
250	338
251	65
252	259
252	220
253	109
253	129
253	723
253	57
253	7
253	10
254	558
254	724
254	725
254	266
254	314
254	7
254	5
256	24
257	89
258	726
258	727
258	728
258	650
258	56
258	83
258	460
258	729
259	73
259	730
259	316
259	330
259	732
259	733
259	734
259	74
259	373
259	509
259	131
259	735
259	736
259	305
259	737
259	731
259	505
259	738
259	154
259	739
259	450
259	144
259	225
259	740
259	741
259	107
259	742
259	723
259	32
259	743
259	66
259	217
259	360
259	564
259	116
259	254
259	259
259	325
259	744
259	230
259	322
259	236
259	365
259	745
259	746
259	218
259	747
259	748
259	671
259	749
259	40
259	750
259	751
259	37
259	752
259	157
259	687
259	753
259	333
259	443
259	670
259	403
259	328
259	754
259	755
259	106
259	756
259	757
259	758
259	111
259	369
259	570
259	304
259	312
259	517
259	759
259	114
259	760
259	130
259	29
260	113
261	443
261	198
261	56
261	658
261	80
261	239
261	459
261	213
261	685
261	304
261	16
261	288
261	122
261	578
261	195
261	391
261	538
261	7
261	15
261	372
261	57
261	67
261	761
261	212
261	153
261	113
261	114
261	64
261	74
261	61
261	156
261	262
261	311
261	40
261	121
261	763
261	762
261	764
261	765
261	766
261	320
261	464
261	529
261	388
261	127
261	767
261	480
261	463
261	768
261	395
261	717
261	401
261	112
261	769
261	131
261	132
261	136
261	770
261	137
261	771
261	772
261	773
261	532
261	774
261	775
261	546
261	51
261	269
261	277
261	442
261	396
261	722
261	776
261	429
261	167
261	777
261	217
261	83
262	84
262	780
262	56
262	236
262	147
262	37
262	187
263	131
264	339
265	10
266	129
266	781
266	782
266	783
266	66
266	53
266	784
266	177
266	785
266	40
266	522
266	153
266	194
266	56
266	130
266	786
266	61
266	318
266	787
266	57
266	788
266	789
266	306
266	790
266	267
266	513
266	505
266	82
266	443
266	791
266	21
266	794
266	37
266	190
266	795
266	679
266	181
266	796
266	797
266	198
266	544
266	565
266	123
266	667
266	64
266	579
266	609
266	767
266	236
266	193
266	76
266	799
266	800
266	376
266	801
266	165
266	77
266	89
266	157
266	442
266	803
266	804
266	135
266	806
266	807
266	792
266	292
266	689
266	808
266	809
266	341
266	218
266	232
266	121
266	326
266	813
266	429
266	46
266	814
266	396
266	730
266	815
266	380
266	660
266	816
266	224
266	305
266	817
266	245
266	818
266	117
266	118
266	819
266	659
266	151
266	812
266	65
266	820
266	109
266	551
266	55
266	821
266	63
266	823
266	722
266	776
266	824
266	291
266	825
266	294
266	826
266	827
266	386
266	179
266	430
266	141
266	828
266	829
266	307
266	107
266	351
266	747
266	101
266	323
266	830
266	831
266	518
266	671
266	832
266	636
266	207
266	552
266	592
266	834
266	835
266	403
266	802
266	836
266	837
266	838
266	375
266	638
266	839
266	126
266	363
266	840
266	841
266	842
266	562
266	843
266	755
266	557
266	271
266	590
266	466
266	517
266	844
266	259
266	845
266	449
266	315
266	296
266	166
266	281
266	846
266	847
266	580
266	848
266	110
266	564
266	137
266	114
266	223
