userID	itemID	tagID
0	1	0
0	1	4
0	1	5
0	1	6
0	2	0
0	2	4
0	2	1
0	2	2
0	2	7
0	2	3
0	2	8
0	2	9
0	3	0
0	3	1
0	3	7
0	3	3
0	3	8
0	3	10
0	3	11
0	4	12
0	4	13
0	5	14
0	5	15
0	5	13
0	5	16
0	5	17
0	6	14
0	6	18
0	6	19
0	7	4
0	7	20
0	8	0
0	8	4
0	8	1
0	8	7
0	8	21
0	9	2
0	9	22
1	11	4
1	11	1
1	11	2
1	11	19
1	11	23
1	11	24
1	11	30
1	12	4
1	12	19
1	12	20
1	12	23
1	13	1
1	13	19
1	13	24
1	13	25
1	13	26
1	14	1
1	14	19
1	14	24
1	16	4
1	16	19
1	16	23
1	16	31
1	17	4
1	17	19
1	17	20
1	17	32
2	19	14
2	19	16
2	20	2
2	22	2
2	23	2
2	24	2
2	26	4
2	27	34
2	30	36
2	33	2
2	34	37
2	36	33
2	37	38
2	38	39
2	39	4
2	41	41
2	42	42
2	43	13
2	44	33
2	45	43
2	46	13
2	47	16
2	48	44
2	50	13
2	53	46
2	54	47
2	54	48
2	55	43
2	57	33
2	58	50
2	60	2
2	61	2
2	64	51
2	66	52
2	67	43
2	68	53
2	69	43
2	70	49
2	71	35
2	72	54
2	73	33
3	29	56
3	74	55
3	75	55
3	76	55
3	77	55
3	78	57
3	79	55
3	81	56
3	82	56
3	83	56
3	86	58
3	86	59
3	87	58
3	88	56
3	89	58
3	90	55
3	91	55
3	92	55
3	93	59
3	94	58
3	96	59
3	97	56
3	97	57
3	99	55
3	100	58
3	101	56
3	101	55
3	102	59
3	103	55
3	103	59
4	106	62
4	106	63
4	106	64
4	106	65
5	107	66
5	108	66
5	108	67
6	109	13
6	109	68
6	110	13
6	110	69
6	110	68
6	110	70
6	111	13
6	111	69
6	111	33
6	112	69
6	112	68
6	112	71
6	113	69
6	113	33
6	115	13
6	115	69
6	115	68
7	118	75
7	119	33
7	120	75
7	121	72
7	122	75
7	123	75
7	123	73
7	124	75
7	125	76
7	126	75
7	127	33
7	127	75
7	129	74
7	130	77
7	131	75
7	132	73
7	133	75
7	134	75
7	136	75
7	136	76
7	138	75
7	138	73
7	138	74
7	140	75
7	142	33
7	144	73
7	145	29
7	145	78
7	145	79
7	146	75
7	147	80
7	147	69
7	149	75
7	151	72
7	152	33
7	152	36
7	152	75
7	152	72
7	153	72
7	154	72
7	155	75
7	156	75
7	158	75
7	161	33
7	162	75
7	163	36
7	165	75
7	166	75
7	167	75
7	168	33
7	169	75
7	170	75
7	170	76
7	171	75
7	171	76
7	172	74
7	173	73
7	173	74
7	174	76
7	176	75
7	178	33
7	179	75
7	180	81
7	181	36
7	182	72
7	183	75
7	184	75
7	184	72
7	185	75
7	186	75
7	188	72
7	189	75
7	189	72
7	190	72
7	191	75
7	192	75
7	192	77
7	193	76
7	194	73
7	195	73
7	196	73
7	197	76
7	198	75
7	199	75
7	200	33
7	202	74
7	203	75
7	204	75
7	205	33
7	206	75
7	206	74
7	207	74
7	208	33
8	209	82
8	209	83
8	211	82
8	213	36
8	213	82
8	213	83
8	215	36
8	216	82
8	216	83
8	217	36
8	218	83
8	219	36
8	219	82
8	220	36
8	220	82
9	221	13
9	222	84
9	223	85
9	224	85
9	225	13
9	225	85
9	226	85
9	227	85
9	229	85
9	230	33
9	230	87
9	231	85
9	233	62
9	235	13
9	236	13
10	238	88
10	238	89
10	238	90
10	239	88
10	241	53
10	241	2
10	241	69
10	241	88
10	241	91
10	242	2
10	242	88
10	242	36
10	242	92
10	243	2
10	243	11
10	243	93
10	245	13
10	245	11
10	23	2
10	247	2
10	247	33
10	247	36
10	247	82
10	247	62
10	221	2
10	221	13
10	221	11
10	29	2
10	29	33
10	29	38
10	29	36
10	29	82
10	248	33
10	248	36
10	248	89
10	248	90
10	37	33
10	37	38
10	37	36
10	37	82
10	41	47
10	41	94
10	41	52
10	41	41
10	249	38
10	249	36
10	75	33
10	75	38
